name,postcode,category,review_count,rating,price,distance,latitude,longitude
Le Warehouse,H3G 2B6,Bars,161.0,3.5,$,1005.1611697547961,45.48918571608228,-73.57190027832984
Sir Winston Churchill Pub,H3G 2B2,Bars,143.0,3.5,$$,1045.3741553696343,45.48918571608228,-73.57190027832984
District 961,H4L 2A6,Bars,9.0,4.0,,931.0249684500617,45.50897852206792,-73.69856357574463
Café Solaris,H3W 3C6,Bars,12.0,4.5,$$,458.8948758786866,45.490494421832885,-73.63852232694626
Restaurant Le Uptown,H3W 1Y3,Cocktail Bars,1.0,4.0,,1021.7989351480022,45.490494421832885,-73.63852232694626
Pancho,H3W 3E4,Bars,2.0,4.5,,844.0238627355856,45.490494421832885,-73.63852232694626
La Retenue,H3T 1Y8,Bars,1.0,4.0,$,1300.7414551709542,45.490494421832885,-73.63852232694626
Bar Le Bièvre,H3X 2H8,Dive Bars,2.0,5.0,$$,1115.5779209600428,45.490494421832885,-73.63852232694626
Le Vin Papillon,H3J 1N4,Wine Bars,144.0,4.5,$$$,311.9408209366918,45.48049514330605,-73.57782661914825
Pub Burgundy Lion,H3J 1N5,Sports Bars,233.0,4.0,$$,324.3489815494171,45.48049514330605,-73.57782661914825
Atwater Cocktail Club,H4C 2G5,Cocktail Bars,116.0,4.5,$$,108.87557627495464,45.48049514330605,-73.57782661914825
Imadake,H3Z 1P2,Bars,286.0,4.0,$$,1071.0927495388692,45.48049514330605,-73.57782661914825
La Drinkerie Ste-Cunégonde,H3J 1N9,Bars,50.0,4.0,$$,217.73361899735772,45.48049514330605,-73.57782661914825
Canal Lounge,H4C 3L8,Cocktail Bars,28.0,4.5,$$,287.44385333426425,45.48049514330605,-73.57782661914825
Chez Sophie,H3J 1M8,Wine Bars,35.0,4.5,$$$$,931.1872236383183,45.48049514330605,-73.57782661914825
Perles et Paddock,H1T 3M7,Cocktail Bars,50.0,4.0,$$$$,1078.1128714841934,45.48049514330605,-73.57782661914825
Pub Lord William,H3J,Bars,38.0,4.0,$$,1102.9888725149965,45.48049514330605,-73.57782661914825
Le Tequila Bar,H4C 1S2,Bars,44.0,3.5,$$,959.1340531803836,45.48049514330605,-73.57782661914825
La Conceria,H4C 1P4,Wine Bars,8.0,4.0,,213.70030705154065,45.48049514330605,-73.57782661914825
Cordova,H4C 1S4,Cocktail Bars,20.0,4.5,$$,1109.7008992008737,45.48049514330605,-73.57782661914825
Green Gazoline Burger,H4C 1P2,Bars,2.0,4.5,,82.4434087547758,45.48049514330605,-73.57782661914825
Le Bureau,H3J 1M1,Bars,31.0,3.5,$$$,1273.603313929283,45.48049514330605,-73.57782661914825
Bar Bara,H4C 1S1,Wine Bars,18.0,4.0,,1000.3584141646492,45.48049514330605,-73.57782661914825
Bar De Courcelle,H4C 1S7,Bars,27.0,4.0,$,1202.016069938152,45.48049514330605,-73.57782661914825
Stem Bar,H3J 1N6,Bars,6.0,4.0,,367.050898632206,45.48049514330605,-73.57782661914825
Pub Epoxy,H4C 1J4,Bars,9.0,3.5,$$,829.8720840891804,45.48049514330605,-73.57782661914825
Le Porto Lounge,H4C 1P7,Cocktail Bars,1.0,4.0,,331.7498725036644,45.48049514330605,-73.57782661914825
Shushuto,H3K 1B9,Tapas Bars,2.0,5.0,,481.47741320795024,45.48049514330605,-73.57782661914825
Boswell,H2H 1L2,Bars,47.0,4.5,$$,1012.875929243505,45.5457759528664,-73.56217458844185
Pot Masson,H1Y 1X9,Cocktail Bars,47.0,3.5,$,1030.576382275186,45.5457759528664,-73.56217458844185
La Succursale,H1Y 1Y2,Bars,25.0,4.0,$$,1018.7736995731691,45.5457759528664,-73.56217458844185
Chez Baptiste,H1Y 1X6,Bars,4.0,4.5,$$,986.6135731376504,45.5457759528664,-73.56217458844185
